gender,height,hand_size,foot_size
0,165.5,172,235
1,164.8,188,251
1,176.5,184,257
1,177.1,197,258
1,163.4,178,242
1,167.3,180,245
1,174.6,181,246
1,171.1,179,239
1,174.0,182,256
1,174.7,185,258
1,173.2,189,253
1,171.5,186,244
1,186.1,194,262
1,168.9,186,248
1,162.1,169,227
1,176.1,182,266
1,176.5,194,247
1,172.0,187,250
1,166.0,180,243
1,174.7,185,251
1,178.4,191,252
1,176.6,192,250
1,183.0,197,281
1,166.4,183,249
1,171.8,186,248
1,176.3,177,252
1,176.6,190,270
1,182.8,197,264
1,166.0,177,238
1,185.2,177,257
1,167.3,181,253
1,184.1,190,268
1,170.7,181,263
1,175.8,187,254
1,169.3,185,256
1,170.3,178,242
1,166.5,168,238
1,170.9,169,252
1,178.6,193,254
1,176.5,189,254
1,169.2,186,249
1,178.9,185,254
1,176.8,195,265
1,174.4,175,248
1,166.4,174,237
1,173.4,189,250
1,187.7,200,268
1,166.8,179,253
1,175.8,184,253
1,173.6,170,252
1,176.9,190,263
1,174.1,184,252
1,174.4,183,258
1,169.6,187,253
1,179.0,185,243
1,173.6,179,242
1,167.1,172,246
1,169.1,184,248
1,176.4,179,264
1,171.2,176,240
1,177.9,201,267
0,162.2,166,225
0,156.7,167,229
0,164.7,169,236
0,163.2,160,218
0,164.7,163,237
0,171.5,182,244
0,162.9,176,243
0,167.6,173,244
0,159.4,161,213
0,181.0,184,201
0,163.6,173,236
0,162.7,166,233
0,156.4,169,231
0,168.1,182,247
0,157.0,161,223
0,154.5,158,214
0,177.2,183,243
0,168.7,168,238
0,151.9,157,211
0,171.2,186,261
0,159.9,171,237
0,164.1,174,237
0,166.1,174,239
0,154.6,160,211
0,161.0,164,232
0,150.8,154,221
0,174.7,172,237
0,161.0,180,240
0,152.9,162,224
0,157.8,168,235
0,171.0,173,236
0,159.5,177,245
0,161.0,176,224
0,158.4,170,236
0,161.8,162,243
0,159.4,166,242
0,159.0,163,225
0,158.8,158,218
0,163.5,179,248
0,166.5,173,238
0,168.2,172,243
0,155.5,172,236
0,167.7,165,226
0,163.6,166,248
0,159.5,169,232
0,150.8,158,217
0,157.5,157,220
0,176.1,187,235
0,158.5,162,226
0,167.7,170,237
0,153.3,157,208
0,162.5,180,242
0,158.2,167,222
0,167.0,173,228
0,170.1,186,256
0,166.6,177,241
0,172.1,182,249
0,162.0,173,219
0,167.1,183,252
0,159.7,169,230
0,158.1,167,230
0,159.9,166,229
0,154.3,161,223
0,161.5,170,231
0,162.0,173,233
0,158.5,164,221
0,168.0,188,250
0,152.4,166,214
0,153.8,166,226
0,154.5,161,225
0,161.0,162,227
0,156.9,159,221
0,159.7,163,232
0,160.9,164,225
0,161.6,171,234
0,161.8,166,236
0,163.3,178,246
0,151.6,156,211
