DATE,VES,KRW,JPY
2020-12-30,1087182.35,1088.3,103.21
2020-12-31,1106648.48,1086.85,103.36
2021-01-01,1103234.28,1083.58,103.03
2021-01-02,1108622.65,1088.87,103.54
2021-01-03,1074501.43,1090.27,103.51
2021-01-04,1100986.52,1082,102.72
2021-01-05,1111955.37,1086.93,102.69
2021-01-06,1107985.92,1090.33,103.31
2021-01-07,1171741.67,1091.01,103.56
2021-01-08,1234112.69,1094.78,104.11
2021-01-09,1234642.32,1095.25,104.16
2021-01-10,1233900.67,1094.59,104.08
2021-01-11,1462809.22,1093.2,103.81
2021-01-12,1469200.98,1095.06,103.83
2021-01-13,1487824.66,1094.21,103.5
2021-01-14,1489610.92,1091.6,103.41
2021-01-15,1494882.77,1102.01,103.67
2021-01-16,1495402.73,1102.4,103.66
2021-01-17,1492575.88,1102.21,103.65
2021-01-18,1492447.56,1102.08,103.5
2021-01-19,1496622.98,1104.99,104.16
2021-01-20,1562256.47,1098.31,103.66
2021-01-21,1556629.68,1097.1,103.23
2021-01-22,1557482.23,1103.23,103.57
2021-01-23,1557482.23,1103.23,103.57
2021-01-24,1556633.83,1102.69,103.55
2021-01-25,1730322.98,1106.68,104.14
2021-01-26,1721574.82,1098.65,103.31
2021-01-27,1728313.3,1109.33,104.16
2021-01-28,1730153.37,1115.27,104.42
2021-01-29,1651062.41,1121.92,105.02
2021-01-30,1649985.69,1121.9,105.02
2021-01-31,1648873.36,1121.16,105.03
2021-02-01,1639731.11,1113.9,104.62
2021-02-02,1642760.54,1119.54,105.39
2021-02-03,1633680.63,1116.75,105.33
2021-02-04,1643489.37,1116.89,105.22
2021-02-05,1659588.26,1122.32,105.81
2021-02-06,1659588.26,1122.32,105.81
2021-02-07,1658865.31,1122.02,105.78
2021-02-08,1633717.69,1112.91,104.81
2021-02-09,1638639.25,1112.78,104.73
2021-02-10,1638608.52,1108.2,104.79
2021-02-11,1790743.98,1106.17,105.03
2021-02-12,1773993.55,1106.21,105.12
2021-02-13,1774044.72,1106.24,105.13
2021-02-14,1746261.55,1106.58,105.17
2021-02-15,1746953.11,1104.94,105.6
2021-02-16,1726525.53,1107.7,106.12
2021-02-17,1731587.78,1110.52,106.28
2021-02-18,1719285.53,1106.38,105.61
2021-02-19,1726688.5,1107.68,105.6
2021-02-20,1726738.4,1107.71,105.6
2021-02-21,1758429.36,1107.9,105.72
2021-02-22,1749385.62,1109.19,104.74
2021-02-23,1809075.57,1114.83,105.68
2021-02-24,1819269.86,1103.95,105.57
2021-02-25,1867206.45,1117.99,106.1
2021-02-26,1865501.65,1122.27,106.35
2021-02-27,1865504.92,1122.27,106.35
2021-02-28,1791769.95,1122.63,106.34
2021-03-01,1865416.49,1122.42,107.22
2021-03-02,1855276.34,1123.89,106.56
2021-03-03,1850814.54,1122.48,106.68
2021-03-04,1868409.53,1128,107.76
2021-03-05,1874947.25,1129.75,108.5
2021-03-06,1874947.25,1129.75,108.5
2021-03-07,1882724.41,1129.99,108.55
2021-03-08,1894478.18,1146.48,109.36
2021-03-09,1883524.96,1136.13,108.54
2021-03-10,1887475.41,1139.36,108.67
2021-03-11,1876863.73,1129.09,108.38
2021-03-12,1857199.9,1132.08,108.58
2021-03-13,1857174.37,1132.06,108.58
2021-03-14,1861674.58,1140.9,109.53
2021-03-15,1839460.39,1134.57,109.38
2021-03-16,1820324.95,1130.97,109.02
2021-03-17,1815446.58,1119.78,108.67
2021-03-18,1804844.04,1130.19,109.13
2021-03-19,1809782.2,1133.87,109.35
2021-03-20,1809782.2,1133.87,109.35
